 time            v(A0)           v(A1)           v(A2)           v(A3)           v(A4)           v(B0)           v(B1)           v(B2)           v(B3)           v(B4)           v(Cin)          v(S0)           v(S1)           v(S2)           v(S3)           v(S4)           v(Cout)        
 2.03464701e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79908158e+00  1.79993872e+00  1.79987472e+00  1.79988006e+00  1.79993322e+00  3.11137129e-01 
 2.29589194e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79986598e+00  1.79988292e+00  1.79997314e+00  1.80013961e+00  1.80013658e+00  3.22437751e-03 
 2.53870707e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79998535e+00  1.80016837e+00  1.80039753e+00  1.80039048e+00  1.80007093e+00  2.49978966e-03 
 2.81569190e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999994e+00  1.80050376e+00  1.80013526e+00  1.79968153e+00  1.80005324e+00  4.32542097e-04 
 3.13378230e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999912e+00  1.79717065e+00  1.79473339e+00  1.79377268e+00  1.79965026e+00 -8.75513869e-04 
 3.44650530e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000711e+00  1.79252413e+00  1.79868298e+00  1.80270136e+00  1.80021444e+00 -3.10170561e-04 
 3.75543070e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79998783e+00  1.81024832e+00  1.80746623e+00  1.80821793e+00  1.80008798e+00  3.71327204e-04 
 4.06342329e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000796e+00  1.80129058e+00  1.80390328e+00  1.80049251e+00  1.79985334e+00  1.69054246e-04 
 4.38199963e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999270e+00  1.79809209e+00  1.79998715e+00  1.79633916e+00  1.80007680e+00 -7.92168152e-05 
 4.70956560e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000969e+00  1.80135105e+00  1.79595636e+00  1.79856604e+00  1.79996853e+00  1.27503262e-04 
 5.09274210e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999287e+00  1.79889559e+00  1.79966636e+00  1.80090749e+00  1.80001470e+00 -1.11045377e-04 
 5.58996982e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000521e+00  1.80087259e+00  1.80031113e+00  1.79926769e+00  1.79999222e+00  1.06715261e-04 
 6.10476475e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999536e+00  1.79924368e+00  1.79975480e+00  1.80060238e+00  1.80000384e+00 -9.96624774e-05 
 7.13435460e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000446e+00  1.80068885e+00  1.80021928e+00  1.79944967e+00  1.79999729e+00  9.63380514e-05 
 9.19353431e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999561e+00  1.79933359e+00  1.79979113e+00  1.80052682e+00  1.80000221e+00 -9.46155521e-05 
 1.25502602e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000430e+00  1.80065120e+00  1.80020312e+00  1.79948817e+00  1.79999801e+00  9.35644031e-05 
 1.92637120e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999570e+00  1.79935677e+00  1.79979975e+00  1.80050556e+00  1.80000184e+00 -9.30431728e-05 
 3.26906155e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000425e+00  1.80064080e+00  1.80019899e+00  1.79949862e+00  1.79999818e+00  9.27795990e-05 
 5.95444226e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999573e+00  1.79936218e+00  1.79980177e+00  1.80050037e+00  1.80000176e+00 -9.26515254e-05 
 1.09657991e-08  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000424e+00  1.80063813e+00  1.80019797e+00  1.79950125e+00  1.79999822e+00  9.25793240e-05 
 2.01523762e-08  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999573e+00  1.79936364e+00  1.79980232e+00  1.80049895e+00  1.80000174e+00 -9.25435497e-05 
 3.85255303e-08  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000424e+00  1.80063736e+00  1.80019768e+00  1.79950200e+00  1.79999824e+00  9.25221937e-05 
 5.85255303e-08  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999574e+00  1.79936413e+00  1.79980250e+00  1.80049847e+00  1.80000173e+00 -9.25070031e-05 
 7.85255303e-08  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000424e+00  1.80063689e+00  1.80019750e+00  1.79950246e+00  1.79999824e+00  9.24872154e-05 
 9.85255303e-08  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999574e+00  1.79936459e+00  1.79980268e+00  1.80049801e+00  1.80000172e+00 -9.24720133e-05 
 1.00100000e-07  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000422e+00  1.80063370e+00  1.80019629e+00  1.79950559e+00  1.79999829e+00  9.22477980e-05 
 1.00110000e-07  1.62000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.62000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999990e+00  1.80008894e+00  1.80002946e+00  1.79990066e+00  1.79999911e+00  2.45508716e-06 
 1.00130000e-07  1.26000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.26000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000092e+00  1.79992559e+00  1.79997916e+00  1.80005524e+00  1.79999981e+00 -6.67183493e-07 
 1.00170000e-07  5.40000000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  5.40000000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999913e+00  1.80006619e+00  1.80001867e+00  1.79995401e+00  1.80000020e+00  3.87417821e-06 
 1.00200000e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000018e+00  1.79995873e+00  1.79998475e+00  1.80003385e+00  1.79999981e+00 -4.17512030e-06 
 1.00205452e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999767e+00  1.79993726e+00  1.79999134e+00  1.80000694e+00  1.79999985e+00 -1.24054421e-06 
 1.00216355e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999030e+00  1.79980254e+00  1.79999001e+00  1.79998853e+00  1.80000002e+00  8.97814267e-07 
 1.00238161e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000937e+00  1.79995829e+00  1.79993094e+00  1.79998340e+00  1.80000004e+00 -1.26388294e-07 
 1.00260680e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80001271e+00  1.80044354e+00  1.80011321e+00  1.79999727e+00  1.79999969e+00  3.37920886e-08 
 1.00283628e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79998045e+00  1.79988693e+00  1.80002572e+00  1.80008259e+00  1.80000071e+00  3.68940075e-07 
 1.00316621e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80001220e+00  1.80011389e+00  1.79993164e+00  1.79992522e+00  1.79999935e+00  9.86088582e-08 
 1.00347909e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999043e+00  1.79939192e+00  1.79999888e+00  1.80003883e+00  1.79999984e+00 -1.08686330e-06 
 1.00384471e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000636e+00  1.80191355e+00  1.79992186e+00  1.79997718e+00  1.80000087e+00  1.45328215e-06 
 1.00416754e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999807e+00  1.80403097e+00  1.80056100e+00  1.80000864e+00  1.79999867e+00 -1.15579874e-06 
 1.00450602e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999801e+00  1.79663925e+00  1.79780445e+00  1.79998797e+00  1.80000138e+00  7.47855467e-07 
 1.00481980e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000700e+00  1.79710367e+00  1.79222034e+00  1.80001325e+00  1.79999874e+00 -3.01315287e-07 
 1.00516041e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999323e+00  1.80114004e+00  1.80999121e+00  1.79999220e+00  1.80000096e+00  2.38927644e-08 
 1.00547034e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000360e+00  1.79918240e+00  1.80077046e+00  1.80000077e+00  1.79999928e+00  1.47033077e-07 
 1.00582881e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999694e+00  1.80064228e+00  1.79850924e+00  1.80000111e+00  1.80000048e+00 -1.76032979e-07 
 1.00623317e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000297e+00  1.79948203e+00  1.80133680e+00  1.79999970e+00  1.79999962e+00  2.01650680e-07 
 1.00704188e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999724e+00  1.80046190e+00  1.79877364e+00  1.80000058e+00  1.80000028e+00 -1.89103163e-07 
 1.00842495e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000256e+00  1.79956850e+00  1.80115010e+00  1.79999928e+00  1.79999972e+00  2.03633635e-07 
 1.01078329e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999753e+00  1.80041509e+00  1.79889230e+00  1.80000078e+00  1.80000023e+00 -1.89338260e-07 
 1.01539661e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000239e+00  1.79959373e+00  1.80108924e+00  1.79999915e+00  1.79999975e+00  2.03267471e-07 
 1.02462327e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999761e+00  1.80040257e+00  1.79892433e+00  1.80000085e+00  1.80000021e+00 -1.89016528e-07 
 1.04307658e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000235e+00  1.79959991e+00  1.80107390e+00  1.79999911e+00  1.79999976e+00  2.03070706e-07 
 1.07998321e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999764e+00  1.80039950e+00  1.79893209e+00  1.80000087e+00  1.80000021e+00 -1.88909413e-07 
 1.15379646e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000233e+00  1.79960144e+00  1.80107005e+00  1.79999910e+00  1.79999976e+00  2.03014935e-07 
 1.30142296e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999764e+00  1.80039873e+00  1.79893401e+00  1.80000087e+00  1.80000021e+00 -1.88880981e-07 
 1.50142296e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000233e+00  1.79960189e+00  1.80106893e+00  1.79999910e+00  1.79999976e+00  2.02998287e-07 
 1.70142296e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999764e+00  1.80039835e+00  1.79893496e+00  1.80000087e+00  1.80000021e+00 -1.88866747e-07 
 1.90142296e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000233e+00  1.79960226e+00  1.80106799e+00  1.79999910e+00  1.79999976e+00  2.02983974e-07 
 2.00000000e-07  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999765e+00  1.80039778e+00  1.79893638e+00  1.80000088e+00  1.80000021e+00 -1.88844888e-07 
 2.00010000e-07  1.80000000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999968e+00  1.80007300e+00  1.79981186e+00  1.79999965e+00  1.80000007e+00 -9.47673327e-11 
