 time            v(A0)           v(A1)           v(A2)           v(A3)           v(B0)           v(B1)           v(B2)           v(B3)           v(Cin)          v(S0)           v(S1)           v(S2)           v(S3)           v(C4)          
 4.10743817e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79944855e+00  8.01101000e-02 -1.94043793e-02 -4.27285788e-03  3.39411838e-01 
 4.55862861e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79952878e+00  8.24033557e-01  9.08677486e-02 -5.45208190e-02  8.09661474e-01 
 4.99196766e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79956524e+00  1.56411119e+00  6.72120917e-01  2.16229043e-01  1.36767902e+00 
 5.45278700e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79959976e+00  1.78021833e+00  1.42025065e+00  1.10176644e+00  1.72627495e+00 
 5.92426601e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79964373e+00  1.80072655e+00  1.74801518e+00  1.70918139e+00  1.79475921e+00 
 6.36615271e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79965886e+00  1.79929415e+00  1.79727980e+00  1.79064849e+00  1.79779626e+00 
 6.90008270e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79969826e+00  1.80044992e+00  1.79840055e+00  1.80162596e+00  1.79874407e+00 
 7.52788575e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79971562e+00  1.79965091e+00  1.79988826e+00  1.79917613e+00  1.79947616e+00 
 8.78349184e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79976807e+00  1.80031549e+00  1.79894997e+00  1.80063188e+00  1.79958821e+00 
 1.10770626e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79981145e+00  1.79969901e+00  1.80022607e+00  1.79945242e+00  1.80002377e+00 
 1.47465409e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79986888e+00  1.80029303e+00  1.79928782e+00  1.80050427e+00  1.79985156e+00 
 2.15770862e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79990585e+00  1.79971144e+00  1.80040192e+00  1.79951906e+00  1.80010730e+00 
 3.10215492e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79994279e+00  1.80028616e+00  1.79942341e+00  1.80046683e+00  1.79988330e+00 
 4.82056905e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79995749e+00  1.79971584e+00  1.80046355e+00  1.79954235e+00  1.80011226e+00 
 7.54165304e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79997992e+00  1.80028370e+00  1.79947347e+00  1.80045366e+00  1.79988733e+00 
 1.01000000e-08  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79997809e+00  1.79971779e+00  1.80048322e+00  1.79955263e+00  1.80011173e+00 
 1.01100000e-08  1.62000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79996542e+00  1.80000603e+00  1.80009900e+00  1.79985620e+00  1.80002941e+00 
