 time            v(CLK)          v(A0i)          v(A1i)          v(A2i)          v(A3i)          v(A4i)          v(B0i)          v(B1i)          v(B2i)          v(B3i)          v(B4i)          v(Cini)         v(S0o)          v(S1o)          v(S2o)          v(S3o)          v(S4o)          v(Couto)       
 2.64462081e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.82524696e+00  1.82487500e+00 -9.22302689e-03  1.82528387e+00  1.82518635e+00 -6.34199480e-03 
 3.00327833e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.84690396e+00  1.84742768e+00  7.30263537e-03  1.84785747e+00  1.84794940e+00  6.16964069e-03 
 3.37475350e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.45025427e+00  1.45502201e+00 -2.04168055e-04  1.45427620e+00  1.45465641e+00 -8.16295272e-04 
 3.85102874e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  5.71829987e-01  5.78046519e-01  3.07650687e-04  5.76844217e-01  5.77952055e-01  9.44249630e-04 
 4.19548395e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.60582875e-01  1.64442171e-01  3.43832367e-05  1.63750577e-01  1.64447858e-01 -4.28853936e-04 
 4.60798864e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.86676445e-02  1.96828843e-02  1.81414949e-05  1.92820034e-02  1.96163163e-02  3.45756794e-04 
 5.09414608e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.82934197e-05  2.52135364e-05  3.81741012e-05 -1.95384632e-05  6.81791094e-05 -2.03897964e-04 
 5.61805454e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  8.58641812e-04  8.88028579e-04 -6.08560118e-06  9.08203605e-04  8.68327913e-04  1.76566914e-04 
 6.48334557e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -2.69209897e-04 -2.81851877e-04  1.60032309e-05 -3.00675557e-04 -2.69652011e-04 -1.39825509e-04 
 7.48334557e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  5.13298697e-04  5.26319941e-04 -5.89660401e-06  5.40828039e-04  5.16938968e-04  1.29973707e-04 
 8.48334557e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -2.66939401e-04 -2.75795223e-04  7.05449484e-06 -2.87912262e-04 -2.68930238e-04 -1.12429436e-04 
 9.48334557e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.89693228e-04  3.98303666e-04 -1.71292494e-06  4.07922558e-04  3.93125155e-04  1.03634296e-04 
 1.04833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -2.31649129e-04 -2.38233167e-04  1.54023280e-06 -2.46270674e-04 -2.34385102e-04 -9.22183707e-05 
 1.14833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.15941883e-04  3.22418639e-04  1.77418809e-06  3.28896643e-04  3.19626508e-04  8.55133465e-05 
 1.24833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -2.00029261e-04 -2.05220527e-04 -1.98200069e-06 -2.10629582e-04 -2.03212136e-04 -7.75001610e-05 
 1.34833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.65726331e-04  2.70954950e-04  4.08927752e-06  2.75436236e-04  2.69590819e-04  7.24552618e-05 
 1.44833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -1.74607921e-04 -1.79027584e-04 -4.08114037e-06 -1.82839645e-04 -1.78081349e-04 -6.65612620e-05 
 1.54833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.29265504e-04  2.33821421e-04  5.39925325e-06  2.37054399e-04  2.33263676e-04  6.27104203e-05 
